IP Address,Received Packets,Received Bytes,Sent Packets,Sent Bytes
5.187.1.212,654,155799,861,861623
192.168.31.22,865,862080,660,156312
192.168.31.231,0,0,1,243
192.168.31.255,1,243,0,0
224.0.0.251,80,16861,0,0
91.189.91.97,5,426,4,457
192.168.31.64,0,0,79,16774
